2978,panterflugsvamp,Amanita pantherina,svamp,Art,2160,Jordbrukslandskap (J) - Stor betydelse,,,,Myco;;
2979,lömsk flugsvamp,Amanita phalloides,svamp,Art,1267,Skog (S) - Stor betydelse,,,,Myco;;
2980,mörkringad flugsvamp,Amanita porphyria,svamp,Art,5031,Skog (S) - Stor betydelse,LC,,,Myco;;
2982,rodnande flugsvamp,Amanita rubescens,svamp,Art,8400,Skog (S) - Stor betydelse,LC,,,Myco;;
236425,,Amanita solitaria,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Myco;;
41,flockflugsvamp,Amanita strobiliformis,svamp,Art,27,Skog (S) - Stor betydelse,,,,Myco;;
2984,gråstrumpig kamskivling,Amanita submembranacea,svamp,Art,236,Skog (S) - Stor betydelse,LC,,,Myco;;
2985,grå kamskivling/vit kamskivling,Amanita vaginata,svamp,Art,2136,Jordbrukslandskap (J) - Stor betydelse,,,,Myco;;
2986,vit flugsvamp,Amanita virosa,svamp,Art,2892,Skog (S) - Stor betydelse,LC,,,Myco;;
257481,,Amarenographium metableticum,svamp,Art,5,Havsstrand (H) - Stor betydelse,LC,,,Sapro;;
233044,,Amauroascus aureus,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
233121,,Amaurodon atrocyaneus,svamp,Art,0,Skog (S) - Stor betydelse,NA,,,Sapro;;
257482,,Amicodisca svrcekii,svamp,Art,5,Skog (S) - Stor betydelse,LC,,,Sapro;;
257485,,Amicodisca virella,svamp,Art,10,Skog (S) - Stor betydelse,LC,,,Sapro;;
2991,kraterskinn,Amphinema byssoides,svamp,Art,470,Skog (S) - Stor betydelse,LC,,,Myco;;
2992,brunt kraterskinn,Amphinema diadema,svamp,Art,0,Skog (S) - Stor betydelse,DD,,,Myco;;
2993,brunnästing,Amphiporthe leiphaemia,svamp,Art,13,Skog (S) - Stor betydelse,LC,,,Sapro;;
233047,,Amphisphaerella dispersella,svamp,Art,12,Skog (S) - Stor betydelse,LC,,,Sapro;;
257547,,Amphisphaerella erikssonii,svamp,Art,1,Fjäll (F) - Stor betydelse,LC,,,Sapro;;
233048,trysvärta,Amphisphaerella xylostei,svamp,Art,120,Skog (S) - Stor betydelse,,,,Sapro;;
233049,,Amphisphaeria bufonia,svamp,Art,7,Skog (S) - Stor betydelse,,,,Sapro;;
257605,,Amphisphaeria multipunctata,svamp,Art,1,,NE,,,Sapro;;
233050,,Amphisphaeria pusiola,svamp,Art,0,,NA,,,Sapro;;
233051,,Amphisphaeria umbrina,svamp,Art,22,Skog (S) - Stor betydelse,,,,Sapro;;
233052,,Amphisphaeria vibratilis,svamp,Art,1,Jordbrukslandskap (J) - Stor betydelse,,,,Sapro;;
236439,klubbtrattskivling,Ampulloclitocybe clavipes,svamp,Art,2842,Skog (S) - Stor betydelse,,,,Sapro;;
